epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,501.275,0.75004,0.57465,1.00845,0.54811,0.32958,0.35477,0.20183,1.79007,2.59921,1.80522,0.000304601,0.000304601,0.000304601
63,508.76,0.78058,0.60465,1.03051,0.45578,0.30311,0.35385,0.2077,1.74897,2.50027,1.75532,0.000296988,0.000296988,0.000296988
64,516.309,0.74856,0.58019,1.01049,0.5489,0.31201,0.38084,0.2194,1.80809,2.51243,1.77604,0.000289375,0.000289375,0.000289375
65,523.831,0.74934,0.57684,0.9969,0.59973,0.26277,0.3501,0.20219,1.79374,2.83555,1.76887,0.000281762,0.000281762,0.000281762
66,531.341,0.71024,0.52783,0.97778,0.51298,0.3083,0.34996,0.20358,1.81449,2.82398,1.81354,0.000274148,0.000274148,0.000274148
67,538.793,0.72594,0.55429,0.98838,0.51943,0.311,0.33213,0.19059,1.79946,2.58839,1.79082,0.000266535,0.000266535,0.000266535
68,546.233,0.71614,0.55003,0.98708,0.466,0.30131,0.32897,0.19436,1.81065,2.53396,1.8133,0.000258922,0.000258922,0.000258922
69,553.626,0.68888,0.52533,0.96887,0.40667,0.37187,0.36455,0.21156,1.8208,2.52972,1.80312,0.000251309,0.000251309,0.000251309
70,561.085,0.72502,0.55345,1.00118,0.66861,0.28893,0.34251,0.20202,1.81965,2.63452,1.81308,0.000243696,0.000243696,0.000243696
71,568.534,0.69907,0.52686,0.98215,0.4359,0.37853,0.36106,0.21231,1.82906,2.48608,1.82982,0.000236083,0.000236083,0.000236083
72,576.083,0.67124,0.52399,0.96371,0.42237,0.40949,0.38484,0.225,1.84735,2.38351,1.87729,0.00022847,0.00022847,0.00022847
73,583.577,0.68871,0.50481,0.97485,0.53421,0.32134,0.3709,0.21497,1.8647,2.49832,1.87465,0.000220857,0.000220857,0.000220857
74,591.095,0.6744,0.50629,0.98542,0.51435,0.34224,0.35602,0.20767,1.86384,2.54673,1.83448,0.000213244,0.000213244,0.000213244
75,598.59,0.66467,0.50192,0.97133,0.52245,0.3245,0.35508,0.20226,1.86532,2.5427,1.86331,0.000205631,0.000205631,0.000205631
76,606.15,0.63947,0.47114,0.95226,0.65275,0.30971,0.35897,0.21065,1.85559,2.66606,1.83791,0.000198018,0.000198018,0.000198018
77,613.623,0.63878,0.47914,0.95058,0.73029,0.30108,0.35695,0.21769,1.81948,2.51435,1.81689,0.000190404,0.000190404,0.000190404
78,621.176,0.6612,0.5008,0.97027,0.5794,0.32067,0.3506,0.21136,1.81223,2.54856,1.82481,0.000182791,0.000182791,0.000182791
79,628.646,0.6345,0.48137,0.95483,0.63269,0.31652,0.3629,0.21066,1.8118,2.65664,1.81486,0.000175178,0.000175178,0.000175178
80,636.193,0.6049,0.45473,0.94642,0.42002,0.3437,0.35339,0.21125,1.85597,2.65206,1.84882,0.000167565,0.000167565,0.000167565
81,643.663,0.61223,0.48313,0.95585,0.60164,0.36307,0.37026,0.21028,1.80834,2.51043,1.80861,0.000159952,0.000159952,0.000159952
82,651.121,0.60453,0.45776,0.93676,0.62515,0.33932,0.38017,0.22053,1.81907,2.42559,1.81593,0.000152339,0.000152339,0.000152339
83,658.544,0.59597,0.42706,0.92978,0.45754,0.34127,0.37309,0.21769,1.82296,2.38253,1.82717,0.000144726,0.000144726,0.000144726
84,666.085,0.57154,0.42775,0.92983,0.56182,0.34869,0.37611,0.22296,1.84271,2.37389,1.83451,0.000137113,0.000137113,0.000137113
85,673.439,0.58751,0.43024,0.93294,0.60738,0.33761,0.38589,0.23044,1.83636,2.43147,1.82434,0.0001295,0.0001295,0.0001295
86,681.001,0.58796,0.43164,0.94176,0.52132,0.34354,0.38285,0.22875,1.81537,2.37585,1.81149,0.000121887,0.000121887,0.000121887
87,688.427,0.56093,0.40915,0.92737,0.58446,0.35701,0.38919,0.23247,1.8138,2.36571,1.81116,0.000114273,0.000114273,0.000114273
88,695.987,0.57251,0.43481,0.93583,0.63554,0.32513,0.37769,0.23276,1.79494,2.45758,1.79483,0.00010666,0.00010666,0.00010666
89,703.402,0.56803,0.43392,0.9338,0.57343,0.35318,0.3846,0.2295,1.81461,2.46598,1.8091,9.90472e-05,9.90472e-05,9.90472e-05
90,710.841,0.56584,0.41125,0.93604,0.58864,0.33176,0.37701,0.22081,1.80561,2.48085,1.83961,9.14341e-05,9.14341e-05,9.14341e-05
91,762.955,0.53524,0.39552,0.87932,0.59929,0.32219,0.36167,0.22047,1.79641,2.67721,1.83451,8.3821e-05,8.3821e-05,8.3821e-05
92,772.356,0.48625,0.32516,0.86497,0.58648,0.3324,0.34929,0.21301,1.80136,2.65344,1.84826,7.62079e-05,7.62079e-05,7.62079e-05
93,779.675,0.45291,0.2996,0.85954,0.59841,0.34972,0.37238,0.22344,1.80809,2.57209,1.84447,6.85948e-05,6.85948e-05,6.85948e-05
94,788.454,0.44333,0.29081,0.84422,0.60295,0.33748,0.37281,0.2224,1.82432,2.56721,1.86645,6.09817e-05,6.09817e-05,6.09817e-05
95,795.861,0.42194,0.28938,0.85979,0.61842,0.32703,0.3749,0.22344,1.82367,2.63144,1.86197,5.33686e-05,5.33686e-05,5.33686e-05
96,803.271,0.42345,0.28223,0.84482,0.63114,0.33739,0.37342,0.22048,1.80284,2.62366,1.84591,4.57555e-05,4.57555e-05,4.57555e-05
97,810.725,0.42698,0.27734,0.8429,0.6307,0.33995,0.37454,0.22184,1.80095,2.62605,1.82843,3.81424e-05,3.81424e-05,3.81424e-05
98,818.104,0.44239,0.28468,0.85752,0.61131,0.35427,0.37585,0.2243,1.78429,2.64014,1.81505,3.05293e-05,3.05293e-05,3.05293e-05
99,825.494,0.41592,0.27119,0.83986,0.62677,0.35723,0.37268,0.22359,1.79376,2.62133,1.81678,2.29162e-05,2.29162e-05,2.29162e-05
100,832.906,0.40404,0.28552,0.84342,0.62491,0.37204,0.37329,0.2254,1.78644,2.59803,1.80878,1.53031e-05,1.53031e-05,1.53031e-05
